# ID RA DEC Hb_z Hb_flux Hb_flux_err Hb_cont Hb_sigmaV OIII_5007_flux OIII_5007_flux_err OIII_5007_cont Ha_z Ha_flux Ha_flux_err Ha_cont Ha_sigmaV NII_6583_flux NII_6583_flux_err NII_6583_cont SII_flux SII_flux_err SII_cont SIII_9531_z SIII_9531_flux SIII_9531_flux_err SIII_9531_cont SIII_9531_sigmaV CI_9850_flux CI_9850_flux_err CI_9850_cont HeI_10830_z HeI_10830_flux HeI_10830_flux_err HeI_10830_cont HeI_10830_sigmaV PaG_flux PaG_flux_err PaG_cont PII_1188_flux PII_1188_flux_err PII_1188_cont FeII_1257_flux FeII_1257_flux_err FeII_1257_cont PaB_z PaB_flux PaB_flux_err PaB_cont PaB_sigmaV FeII_164_flux FeII_164_flux_err FeII_164_cont PaA_z PaA_flux PaA_flux_err PaA_cont PaA_sigmaV
5362 214.9426659 52.8299741 1.71728 19.117 4.978 0.73 155.257 83.262 11.773 0.407 1.71731 86.167 8.902 0.41 155.255 17.861 3.987 0.392 8.694 -1.0 0.359 1.7155 7.973 -1.0 0.242 155.353 6.475 -1.0 0.192 1.7168 4.569 -1.0 0.217 155.284 18.456 -1.0 0.19 4.697 -1.0 0.196 5.168 -1.0 0.338 1.71786 9.303 3.4 0.306 155.224 4.605 -1.0 0.145 1.71802 25.731 10.866 -0.009 180.208
5409 214.8681252 52.8388596 1.69948 62.283 7.209 1.522 118.908 82.944 7.491 1.389 1.69932 235.187 12.321 1.699 118.915 42.229 8.047 1.73 16.216 3.597 1.771 1.69928 60.039 4.415 0.664 143.918 5.742 -1.0 0.646 1.69937 20.348 3.212 0.649 118.913 13.5 0.464 0.627 3.578 -1.0 0.57 8.781 3.326 0.572 1.69912 25.662 3.377 0.562 118.924 4.098 -1.0 0.41 1.69918 53.38 8.001 0.276 119.197
5413 215.0723474 52.9891068 1.73446 12.52 -1.0 0.994 126.052 3.22 -1.0 1.004 1.74149 84.725 4.226 0.518 125.729 10.545 2.161 0.517 16.143 3.121 0.474 1.74188 19.101 4.373 0.156 125.711 4.669 -1.0 0.162 1.74063 9.362 2.277 0.198 125.768 12.32 -1.0 0.181 2.15 -1.0 0.162 2.094 -1.0 0.163 1.74121 6.071 1.518 0.145 125.742 3.682 -1.0 0.096 1.74127 16.645 3.433 0.036 125.74
5430 214.9713251 52.9320531 1.67677 233.314 21.994 5.566 120.702 218.069 32.451 5.132 1.67694 789.716 68.647 2.583 120.694 302.835 53.618 3.02 232.246 51.825 3.803 1.6771 143.033 21.335 1.089 109.698 34.178 16.953 1.519 1.67723 62.988 10.727 1.439 120.681 50.413 2.05 1.397 11.087 2.349 1.178 22.012 8.045 1.18 1.67756 88.592 8.466 1.15 120.666 12.066 -1.0 0.725 1.67668 175.36 18.735 0.474 101.164
5582 215.0355582 52.9466806 2.18534 189.522 39.616 1.542 144.497 630.741 46.763 1.613 2.1853 765.571 26.671 2.17 144.499 31.285 -1.0 2.125 199.447 36.616 1.701 2.18498 291.998 36.138 1.688 133.304 31.719 -1.0 1.323 2.18542 77.485 18.917 0.507 144.494 111.252 -1.0 0.619 27.823 -1.0 0.423 28.101 -1.0 0.474 2.18472 126.177 21.256 0.642 144.525 46.884 -1.0 0.688 -9.0 -9.0 -9.0 -9.0 -9.0
5632 215.0625372 52.994959 2.5314 149.044 5.132 0.94 168.208 812.86 5.201 0.864 2.53132 543.039 3.208 0.478 168.212 38.644 2.893 0.478 49.754 3.927 0.454 2.5314 86.432 2.863 0.259 193.207 2.865 -1.0 0.265 2.53164 63.344 1.819 0.256 168.196 17.55 0.03 0.26 2.954 -1.0 0.22 4.493 1.95 0.206 2.53124 35.676 2.87 0.195 168.215 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
6265 215.1375882 53.0031231 -9.0 -9.0 -9.0 -9.0 -9.0 29.831 -1.0 1.788 1.90214 239.756 24.975 0.0 106.803 22.287 -1.0 -0.457 152.508 29.597 1.168 1.90217 65.652 17.277 0.727 81.803 44.148 10.512 1.19 1.90183 35.461 11.604 1.639 106.815 26.177 7.652 1.767 18.862 -1.0 1.734 14.408 -1.0 1.695 1.90198 95.988 13.332 1.782 106.809 20.073 -1.0 2.017 -9.0 -9.0 -9.0 -9.0 -9.0
6540 215.1252465 53.0048165 1.57724 1854.248 61.253 12.8 133.682 3892.375 62.91 12.841 1.57724 8115.071 71.085 10.886 108.411 1163.164 65.73 10.803 1518.197 82.684 9.996 1.57722 1841.461 41.989 6.655 115.652 41.063 11.535 5.963 1.57735 46.383 -1.0 5.483 117.417 517.435 0.234 5.546 78.497 35.296 5.229 240.133 23.861 5.329 1.57718 962.174 23.076 4.484 148.059 194.607 28.959 3.652 1.57715 2464.196 41.379 1.616 103.294
6563 214.9401821 52.8360254 1.69987 177.575 9.421 4.244 128.027 271.275 9.43 4.231 1.70006 849.641 12.202 3.066 128.018 194.158 12.295 3.038 190.707 11.206 2.833 1.69992 193.997 5.92 1.82 153.026 13.712 5.87 1.849 1.69995 98.815 4.571 1.692 128.023 39.804 0.108 1.645 5.036 1.517 1.562 22.105 3.57 1.512 1.69989 88.817 3.628 1.458 128.026 31.317 5.006 0.95 1.69983 270.647 9.07 0.714 127.067
6649 215.21636 53.0237355 1.68635 215.806 10.006 5.995 110.012 313.157 9.604 6.003 1.6863 1350.062 13.996 4.883 110.014 320.924 13.958 5.011 259.71 16.908 4.946 1.68625 301.301 8.759 3.428 132.034 8.269 -1.0 3.546 1.68622 222.134 6.942 3.227 110.017 65.977 0.147 3.103 11.371 3.425 2.871 46.481 4.907 2.889 1.68603 193.735 4.843 2.83 110.025 20.05 6.923 2.12 1.68627 615.753 11.981 1.644 114.916
6689 214.9377543 52.8264538 1.4611 0.4 -1.0 11.751 128.024 40.799 11.283 11.388 1.46142 292.681 15.295 10.67 128.007 231.301 14.471 10.68 34.813 8.978 10.458 1.46129 34.183 7.267 8.162 106.755 11.597 -1.0 8.511 1.46225 36.953 12.029 7.935 127.964 54.576 -1.0 7.873 11.75 -1.0 7.602 21.75 6.207 7.175 1.46115 35.4 -1.0 7.145 128.021 30.765 -1.0 5.1 1.46137 158.911 8.712 3.592 150.726
7975 215.1300978 52.9538268 2.74263 102.877 6.797 1.304 155.156 372.686 6.584 1.164 2.74244 396.31 5.091 0.725 155.164 66.508 4.873 0.709 70.502 5.236 0.669 2.74296 72.282 3.29 0.535 163.79 4.291 -1.0 0.488 2.74252 56.5 3.231 0.407 155.161 19.15 0.371 0.383 4.726 -1.0 0.367 13.979 5.109 0.297 2.742 37.526 5.545 0.271 155.182 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
8041 214.9680391 52.8429609 1.63076 247.972 -1.0 2.035 251.596 332.664 55.15 1.919 1.62698 897.324 51.217 1.025 251.958 71.996 -1.0 1.073 443.12 29.636 1.399 1.62523 42.808 18.841 0.467 277.142 34.225 -1.0 0.586 1.62786 12.303 -1.0 0.608 251.874 49.708 -1.0 0.636 38.267 -1.0 0.35 51.74 15.472 0.373 1.62648 100.638 17.28 0.426 252.006 43.846 -1.0 0.241 1.62873 48.208 -1.0 0.534 251.837
8110 215.0486679 52.9034212 1.56729 190.099 16.099 4.022 130.262 320.36 15.992 3.938 1.56691 683.503 19.56 1.842 130.281 102.034 15.864 1.865 66.099 14.017 2.097 1.56715 124.506 12.293 0.949 149.331 9.047 -1.0 0.839 1.56653 74.313 9.537 0.544 130.301 49.856 -1.0 0.559 7.491 1.734 0.86 12.597 2.56 0.8 1.56736 57.035 6.976 0.748 130.258 16.097 6.619 0.527 1.56862 2.508 -1.0 0.409 130.19
8299 215.1519541 52.9927709 2.15748 58.693 9.194 1.243 171.711 201.783 9.419 1.116 2.15754 343.156 3.559 1.094 171.708 97.217 3.494 1.055 81.531 4.493 0.986 2.1576 87.226 2.511 0.665 157.742 3.384 -1.0 0.7 2.15776 77.31 2.158 0.673 171.696 16.63 0.044 0.621 3.567 -1.0 0.529 10.711 1.929 0.505 2.15752 41.897 2.028 0.484 171.709 7.831 3.423 0.321 -9.0 -9.0 -9.0 -9.0 -9.0
8515 215.0595679 52.9434344 1.56826 166.021 17.151 3.37 99.888 268.376 13.218 3.558 1.56806 589.431 15.337 1.764 99.896 89.248 13.125 1.775 79.746 14.638 1.696 1.56808 114.302 8.375 0.803 105.641 5.498 -1.0 0.922 1.56765 50.382 8.971 0.911 99.912 43.196 -1.0 0.859 10.603 2.266 0.76 5.567 1.481 0.891 1.56808 30.439 4.497 0.772 99.895 24.77 4.93 0.434 1.56794 74.519 6.064 0.372 95.503
8588 214.9111703 52.8430445 2.33705 51.396 8.705 0.743 161.505 65.513 9.703 0.785 2.33682 204.247 3.782 0.71 161.516 92.856 3.911 0.711 56.946 6.047 0.674 2.33726 42.481 1.917 0.485 186.492 3.876 0.941 0.484 2.33689 25.966 1.994 0.488 161.513 10.533 0.271 0.476 10.499 3.707 0.44 8.872 2.653 0.43 2.33692 17.795 2.397 0.446 161.511 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
8710 214.8815588 52.8306337 2.33773 73.872 9.107 0.803 136.494 290.807 8.545 0.796 2.33771 246.372 4.031 0.271 136.495 21.853 4.553 0.274 29.254 5.342 0.248 2.33814 41.815 2.659 0.167 119.367 11.528 3.447 0.119 2.33786 35.575 2.23 0.158 136.489 10.683 0.289 0.149 5.16 2.122 0.128 8.73 3.307 0.14 2.33808 8.216 2.746 0.137 136.48 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
